time,accel_x,accel_y,accel_z,gyr_x,gyr_y,gyr_z
1,-0.79,0.28,0.5,33.75,83.56,59.63
2,-0.73,0.24,0.58,18.43,33.39,38.57
3,-0.78,0.37,0.72,-50.72,60.36,47.06
4,-0.57,0.45,0.55,68.05,84.9,-2.01
5,-0.76,0.22,0.74,-28.32,-77.39,-55.42
6,-0.73,0.3,0.83,12.21,46.69,11.96
7,-0.84,0.23,0.45,26.67,13.49,16.66
8,-0.51,0.04,0.12,2.2,45.47,32.78
9,-0.28,0.44,0.48,-42.97,250.43,12.57
10,-0.84,0.14,1.33,-77.39,-159.42,-59.14
11,-0.5,0.09,1.42,-57.07,31.86,-62.5
12,-0.06,0.21,0.83,-54.32,149.54,1.04
13,-0.33,-0.16,1.31,-156.92,86.98,-53.89
14,-0.37,-0.18,0.89,-59.75,-37.23,135.38
15,0.32,-0.32,1.09,264.53,-512.39,86.79
16,0.16,-0.38,0.73,91.55,65.8,67.5
17,0.12,0.07,0.83,-6.29,22.58,211.98
18,-0.04,-0.05,1.01,-0.18,65.55,58.84
19,0.0,-0.01,1.0,0.06,65.67,58.17
20,0.0,0.0,0.98,-2.08,62.68,56.15
21,-0.03,0.06,0.99,-1.53,64.7,20.14
22,-0.01,-0.0,1.0,-0.24,64.76,15.14
23,-0.01,-0.01,0.99,-0.61,64.33,16.17
24,-0.01,0.0,0.99,-0.73,64.51,15.32
25,-0.01,-0.0,1.0,-0.73,64.45,15.2
26,-0.01,-0.0,0.99,-0.67,64.51,15.14
27,-0.01,-0.0,0.99,-0.73,64.45,15.2
28,-0.01,-0.0,0.99,-0.06,64.58,15.14
29,-0.01,-0.0,0.99,-0.61,64.45,15.01
30,-0.01,-0.0,0.99,-0.92,64.58,15.26
31,-0.02,-0.02,0.99,-1.16,64.33,29.05
32,-0.0,-0.02,0.99,-0.55,64.76,24.6
33,-0.0,-0.02,0.99,-0.61,65.0,24.05
34,-0.01,-0.0,0.99,-0.73,64.45,14.95
35,-0.01,-0.0,1.0,-0.55,64.58,15.08
36,-0.01,-0.0,1.0,-0.55,64.58,15.14
37,-0.01,-0.0,0.99,-0.24,64.45,15.14
38,-0.01,-0.0,0.99,-0.79,64.51,15.01
39,-0.02,-0.0,0.99,-0.12,64.58,15.14
40,-0.01,-0.0,0.99,-0.79,64.58,15.08
41,-0.01,-0.0,0.99,-0.67,64.45,15.08
42,-0.01,-0.0,0.99,-0.18,64.64,15.14
43,-0.02,-0.0,0.99,-0.55,64.45,15.08
44,-0.01,-0.0,0.99,-0.37,64.51,15.01
45,-0.01,-0.0,1.0,-0.12,64.51,15.08
46,-0.01,-0.0,0.99,-0.73,64.58,15.2
47,-0.01,-0.0,0.99,-0.43,64.45,15.14
48,-0.01,-0.0,1.0,-0.31,64.45,15.01
49,-0.01,-0.0,0.99,-0.43,64.45,15.08
50,-0.01,-0.0,0.98,-0.61,64.45,15.2
51,-0.01,-0.01,0.99,-0.49,64.58,15.01
52,-0.01,-0.0,0.99,-0.31,64.58,15.01
53,-0.01,0.0,1.0,-0.79,64.45,15.08
54,-0.01,0.0,1.0,-0.24,64.51,15.01
55,-0.01,-0.0,0.99,-0.24,64.51,15.14
56,-0.02,-0.0,0.99,-0.37,64.51,15.08
57,-0.01,-0.01,0.99,-0.49,64.45,15.01
58,-0.01,-0.0,0.99,-0.12,64.45,15.08
59,-0.01,-0.0,0.99,-0.12,64.58,15.01
60,-0.01,-0.0,1.0,-0.61,64.33,14.95
61,-0.01,-0.0,1.0,-0.61,64.64,15.08
62,-0.01,-0.0,0.99,-0.31,64.45,15.08
63,-0.01,-0.0,1.0,-0.43,64.45,15.08
64,-0.01,-0.0,0.99,0.0,64.58,15.08
65,-0.01,-0.0,1.0,-0.73,64.51,15.2
66,-0.01,-0.0,1.0,-0.61,64.51,15.01
67,-0.01,-0.0,0.99,-0.31,64.58,15.08
68,-0.01,-0.0,0.99,-0.61,64.51,14.95
69,-0.01,-0.0,1.0,-0.43,64.58,15.01
70,-0.01,-0.0,1.0,-0.49,64.64,14.95
71,-0.01,-0.0,1.0,-0.67,64.45,15.08
72,-0.01,-0.0,0.99,-0.49,64.51,15.01
73,-0.01,-0.0,1.0,-0.06,64.45,15.01
74,-0.01,-0.0,0.99,-0.31,64.45,15.14
75,-0.01,-0.0,1.0,-0.06,64.51,15.01
76,-0.01,-0.01,1.0,-0.43,64.58,15.08
77,-0.01,-0.0,1.0,-0.31,64.51,15.01
78,-0.01,-0.01,0.99,-0.06,64.51,15.01
79,-0.01,-0.0,1.0,-0.67,64.51,14.95
80,-0.01,-0.01,0.99,-0.61,64.51,15.14
81,-0.01,-0.0,0.99,-0.79,64.58,15.08
82,-0.01,-0.0,0.99,-0.55,64.58,15.01
83,-0.01,-0.0,0.99,-0.37,64.58,15.08
84,-0.01,-0.0,0.99,-0.49,64.51,15.01
85,-0.01,-0.0,0.99,-0.24,64.45,15.08
86,-0.01,-0.0,0.99,-0.31,64.51,15.01
87,-0.01,-0.0,0.99,-0.37,64.45,15.08
