time,accel_x,accel_y,accel_z,gyr_x,gyr_y,gyr_z
1,-0.12,-0.09,0.89,23.68,-1.95,1.95
2,-0.07,-0.06,0.94,37.48,-11.05,18.8
3,-0.0,-0.07,1.06,-57.98,-70.07,44.31
4,0.11,-0.17,0.97,-28.08,-101.07,36.68
5,0.21,-0.1,0.88,20.08,-51.33,-34.42
6,0.24,-0.09,0.94,22.89,-14.77,-48.4
7,0.27,0.01,1.01,8.61,6.84,-50.48
8,0.27,-0.03,0.95,27.04,-81.54,-14.89
9,0.51,-0.06,0.87,-44.86,-109.38,14.77
10,0.6,0.08,0.73,-47.18,-209.05,40.04
11,0.61,0.04,0.61,22.89,-44.37,6.16
12,0.82,0.05,0.74,-9.46,-5.25,-12.76
13,0.71,0.08,0.62,2.93,0.49,0.55
14,0.71,-0.04,0.64,10.8,-15.81,11.47
15,0.59,-0.01,0.84,141.05,416.63,-216.13
16,0.0,0.53,1.01,278.38,348.63,-48.34
17,0.03,0.5,0.61,-17.03,-60.49,-328.67
18,-0.44,0.51,0.63,271.79,-174.74,-364.75
19,-0.32,0.28,0.68,114.32,-201.66,-167.66
20,-0.49,0.59,-0.13,271.61,174.93,-226.87
21,-0.92,1.6,-0.53,113.16,-122.31,37.11
22,-0.86,0.7,0.23,-10.99,-104.55,-19.29
23,-0.63,0.53,0.55,20.57,-386.9,35.46
24,-0.98,0.3,0.74,-3.54,-1233.46,-49.19
25,-0.04,0.54,0.73,-3.54,-54.93,-95.34
26,-0.15,1.0,0.84,31.25,104.98,-13.98
27,-0.21,0.56,0.76,-10.44,130.43,87.1
28,0.03,0.93,0.59,96.07,71.9,114.62
29,0.05,0.78,0.85,19.1,-56.4,-53.1
30,-0.2,0.65,0.86,-161.25,64.88,111.45
31,0.28,0.53,0.71,-12.63,-175.54,47.12
32,0.32,0.48,0.45,82.34,-448.0,41.38
33,0.56,0.41,0.12,95.58,182.68,-46.63
34,0.71,1.07,-0.04,475.22,-303.04,71.17
35,0.9,0.9,-0.87,68.05,74.77,26.86
36,1.14,0.73,-0.49,-205.99,274.84,-45.9
37,0.46,0.4,0.27,-174.01,428.1,-237.18
38,-0.6,1.1,0.3,-214.36,189.15,-263.49
39,-0.78,0.03,0.88,-101.99,63.6,-187.74
40,-0.67,-0.2,1.15,57.37,-264.1,-32.65
41,-0.27,-0.03,0.66,315.55,-241.64,10.8
42,0.52,0.52,0.24,257.32,-53.96,91.25
43,0.97,1.25,-0.15,79.83,-77.64,78.55
44,0.67,1.27,-0.08,-26.73,-125.18,-39.25
45,0.48,0.84,0.78,-250.37,361.94,-119.32
46,0.48,0.55,0.5,-164.37,259.95,-312.01
47,-0.64,-0.27,0.07,-73.61,154.97,-139.4
48,-1.25,-0.58,0.51,75.26,-156.01,30.88
49,-0.69,-0.24,1.09,222.9,-398.8,123.6
50,-0.04,-0.0,0.3,343.02,-325.38,113.95
51,0.91,0.63,-0.2,187.68,10.19,145.02
52,0.97,1.32,0.89,-26.73,76.78,52.8
53,0.55,0.72,0.21,-34.18,-34.55,-57.5
54,0.23,0.55,0.45,-16.42,-13.49,-27.89
55,0.35,0.76,0.69,-2.99,-3.11,-15.38
56,0.51,0.8,0.51,0.98,-36.38,-19.23
57,0.48,0.56,0.51,-22.09,36.32,91.0
58,0.54,0.71,0.54,-54.87,-56.52,7.57
59,0.5,0.69,0.28,-31.19,121.64,1.89
60,0.19,0.65,0.91,-65.19,116.76,-7.75
61,0.18,0.58,0.88,0.92,70.86,-121.22
62,0.08,0.51,0.71,-16.97,-88.99,28.14
63,0.11,0.49,0.77,-4.76,-11.35,-81.48
64,0.11,0.53,0.73,-40.59,77.51,-80.69
65,-0.02,0.52,0.84,-6.16,3.36,-41.63
