time,accel_x,accel_y,accel_z,gyr_x,gyr_y,gyr_z
1,1.95,-2.0,-4.03,918.58,353.94,309.08
2,0.87,-1.17,-1.05,-80.69,-257.14,379.88
3,0.13,-2.22,-1.78,-638.92,-212.04,169.07
4,0.27,-0.34,1.15,-742.98,403.32,-181.27
5,-0.79,-0.21,1.51,-311.28,362.3,-245.91
6,-1.16,-0.34,0.27,412.78,327.7,-259.16
7,0.36,-0.39,-1.48,306.34,96.01,-101.2
8,-2.8,-2.9,-1.68,-674.44,-238.04,-232.85
9,-1.43,-2.54,0.58,-654.17,-52.55,282.71
10,-0.69,-1.57,1.04,-482.24,-82.21,551.03
11,0.69,-2.0,0.46,338.93,-553.65,1065.61
12,0.2,-3.29,-2.44,963.62,-260.5,411.99
13,0.02,-2.66,-1.45,-177.25,-34.06,324.46
14,-0.38,-2.6,-0.75,-808.59,1.16,399.11
15,0.51,-2.63,0.55,-1239.44,331.97,241.39
16,-0.45,-4.91,0.66,373.9,-65.31,-1262.39
17,-1.01,-2.87,-0.73,764.1,215.76,-323.0
18,0.1,-1.27,-0.22,170.1,114.93,215.45
19,0.27,-1.37,-0.52,107.6,-139.59,77.51
20,-0.48,-4.21,0.13,-819.03,-236.57,168.15
21,0.13,-4.87,0.78,-892.09,-256.96,704.59
22,0.47,-2.46,0.83,-750.67,-46.39,753.48
23,0.6,-1.56,0.9,-620.85,534.79,458.56
24,-0.36,-3.26,0.9,-670.78,753.54,-634.7
25,-1.65,-3.91,0.86,77.58,164.06,-609.8
26,0.11,-4.34,0.31,83.37,360.05,1315.98
27,0.67,-3.15,0.34,40.89,-71.96,1291.02
28,-0.46,-5.72,-0.04,1205.02,694.46,-856.14
29,-0.19,-3.88,-0.62,942.5,628.05,-64.09
30,0.54,-1.41,-0.23,281.07,55.85,446.47
31,0.32,-1.23,-0.52,71.17,-240.05,58.23
32,0.05,-6.68,0.67,-1363.77,-284.12,-244.14
33,0.27,-5.53,0.89,-1149.96,-308.72,238.34
34,0.29,-1.61,0.6,-658.69,-30.76,356.26
35,0.28,-1.08,0.63,-746.89,236.94,172.12
36,-0.02,-3.24,0.52,-630.74,667.97,-796.69
37,-0.91,-5.17,0.41,159.67,198.49,-1150.88
38,-0.2,-4.11,0.19,-348.82,369.57,1204.16
39,0.48,-3.78,0.46,-404.11,-8.18,1305.11
40,0.6,-3.44,-0.38,805.24,-1924.13,889.89
41,-0.26,-4.59,-0.27,1183.84,397.95,-533.02
42,0.42,-4.29,0.24,340.15,562.68,915.59
43,0.68,-1.18,-0.24,378.66,-98.94,566.65
44,0.01,-1.2,-0.57,-193.66,-191.77,-356.63
45,0.18,-7.36,0.68,-1447.63,-545.65,-283.81
46,0.22,-5.26,0.83,-1058.53,-254.76,111.21
47,0.33,-2.65,0.6,-878.6,155.4,49.26
48,0.2,-4.87,0.53,-821.11,369.51,-789.25
49,-0.36,-6.48,0.63,-308.78,-34.06,-1288.51
50,-0.7,-1.71,0.55,-142.09,-329.04,-60.91
51,-0.47,-1.45,0.35,-54.93,182.31,124.51
52,0.5,-5.28,0.33,264.22,235.23,1089.23
53,0.61,-6.04,0.39,432.98,118.29,1074.04
54,0.59,-2.76,0.13,454.35,-8.36,845.58
55,0.35,-6.45,0.06,1353.33,-367.25,350.83
56,0.3,-5.56,-0.07,973.94,430.6,553.22
57,0.41,-2.41,-0.5,644.9,111.27,505.68
