index,time,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
0,1.738473133463E12,0.79,-0.27,0.63,1.83,17.4,-6.16
1,1.738473136677E12,0.7,-0.3,0.61,-3.85,1.59,-3.11
2,1.738473136679E12,0.7,-0.3,0.63,-1.59,11.11,-2.69
3,1.738473136681E12,0.72,-0.27,0.67,-3.97,13.98,-5.13
4,1.738473136684E12,0.71,-0.27,0.63,-4.33,21.48,-9.64
5,1.738473136686E12,0.78,-0.25,0.66,0.31,-18.13,-21.12
6,1.738473136688E12,0.77,-0.24,0.68,-6.77,41.69,-39.79
7,1.73847313669E12,0.78,-0.25,0.83,-1.1,47.73,-111.57
8,1.738473136692E12,1.22,-0.19,0.98,44.8,93.02,-225.65
9,1.738473136708E12,0.59,-0.06,0.78,34.79,166.69,-286.44
10,1.738473136712E12,-0.03,0.03,0.61,4.82,103.94,-225.95
11,1.738473136716E12,-0.21,0.07,0.77,-2.32,14.89,-175.54
12,1.73847313672E12,-0.65,0.03,0.73,-33.45,27.34,-117.07
13,1.738473136723E12,-0.69,-0.03,0.95,-20.2,4.52,-45.1
14,1.738473136727E12,-0.52,0.06,0.94,-2.32,-0.67,15.2
15,1.738473136731E12,-0.66,-0.05,0.9,-9.77,10.86,46.69
16,1.738473136737E12,-0.6,-0.16,0.94,-9.03,-5.19,126.16
17,1.738473136744E12,-0.54,-0.32,0.74,-37.78,-54.69,281.86
18,1.738473136749E12,0.19,-0.44,1.0,-62.44,-62.19,366.52
19,1.738473136756E12,0.69,-0.21,1.31,-24.23,-38.7,220.15
20,1.73847313676E12,0.75,-0.24,0.91,-7.39,-6.59,164.25
21,1.738473136766E12,0.66,-0.06,1.0,0.12,3.36,28.02
22,1.738473136773E12,0.65,-0.13,1.07,9.7,7.81,-56.82
23,1.738473136782E12,0.67,-0.23,1.2,28.5,8.24,-129.76
24,1.738473136789E12,0.37,-0.25,0.96,59.39,33.69,-206.79
25,1.738473136795E12,-0.12,-0.13,0.76,47.3,13.98,-221.07
26,1.738473136799E12,-0.23,-0.02,0.75,30.52,6.77,-190.92
27,1.738473136805E12,-0.36,0.05,0.96,10.01,4.88,-159.67
28,1.738473136812E12,-0.64,0.1,0.83,9.95,21.3,-134.16
29,1.738473136821E12,-0.98,0.15,0.84,-4.21,8.24,-43.15
30,1.738473136825E12,-0.96,0.11,0.87,-8.42,-20.08,52.43
31,1.738473136832E12,-0.62,0.06,0.86,-12.39,-41.2,110.78
32,1.738473136836E12,-0.35,-0.02,0.81,-15.56,-38.15,160.1
33,1.738473136843E12,-0.09,-0.13,0.83,-25.63,-38.76,183.78
34,1.738473136851E12,0.27,-0.24,0.89,-41.69,-36.01,205.32
35,1.738473136855E12,0.41,-0.28,0.83,-32.78,-15.38,154.97
36,1.738473136856E12,0.85,-0.1,1.17,-24.78,-16.11,97.78
37,1.738473136858E12,0.75,-0.06,0.94,-3.17,3.6,37.11
38,1.738473136861E12,0.53,-0.1,1.1,-7.69,14.04,-0.98
39,1.738473136864E12,0.44,-0.12,1.15,17.21,17.27,-65.43
40,1.738473136868E12,0.39,-0.1,0.95,32.59,24.84,-99.55
41,1.73847313687E12,0.24,-0.12,0.94,31.74,6.84,-132.14
42,1.738473136917E12,0.12,-0.06,0.9,33.75,24.23,-136.96
43,1.738473137008E12,-0.24,-0.04,0.85,28.38,32.29,-145.87
44,1.738473137064E12,-0.22,0.09,0.88,18.01,-0.12,-131.47
45,1.738473137155E12,-0.27,0.14,0.92,4.15,20.51,-101.2
46,1.738473137222E12,-0.55,0.19,0.86,6.71,38.76,-75.5
47,1.738473137305E12,-0.97,0.19,0.83,11.41,12.21,-16.42
48,1.738473137395E12,-0.69,0.23,0.85,-5.25,-22.83,52.86
49,1.738473137485E12,-0.51,0.12,0.82,-13.67,-36.38,104.25
50,1.738473137548E12,-0.44,0.04,0.75,-18.01,-36.62,133.85
51,1.738473137634E12,-0.13,-0.12,0.86,-30.33,-48.52,171.2
52,1.738473137724E12,0.2,-0.21,0.95,-31.01,-32.29,185.18
